iter	RMSE
0	166.2689393
1	161.9638521
2	156.5541004
3	152.6901717
4	147.982119
5	143.0036612
6	139.7266439
7	136.4716273
8	132.1101329
9	129.0645323
10	124.9871654
11	122.612416
12	119.6652539
13	116.3437472
14	113.6857613
15	111.6585489
16	109.2861282
17	105.8358064
18	103.2623929
19	100.216906
20	97.56964655
21	95.06887088
22	91.92301183
23	89.35298889
24	86.99105753
25	84.13638079
26	81.86153763
27	80.03383693
28	78.35250838
29	76.37118277
30	74.39568414
31	72.81508725
32	70.88894226
33	68.86738011
34	67.47526448
35	66.07271986
36	64.22277541
37	62.91562103
38	61.6929315
39	60.42166243
40	59.01354939
41	57.93520125
42	56.41963
43	54.96768996
44	54.15966804
45	52.94476254
46	51.64646943
47	50.51378975
48	49.29899887
49	48.47424873
50	47.3353712
51	46.15449836
52	45.19590349
53	44.27043582
54	43.36771682
55	42.49610444
56	41.65461227
57	40.81191417
58	40.0067591
59	39.24483717
60	38.41575153
61	37.64936773
62	36.9374003
63	36.45688583
64	35.7215246
65	35.04703475
66	34.47622719
67	33.93579608
68	33.29905377
69	32.77805834
70	32.10364535
71	31.58340161
72	31.13488697
73	30.71786041
74	30.35358226
75	29.95515316
76	29.42559387
77	28.8578631
78	28.38103495
79	28.04618226
80	27.5615346
81	27.05095781
82	26.61376973
83	26.36073348
84	26.09091454
85	25.83484696
86	25.60594382
87	25.13930062
88	24.72322678
89	24.36006405
90	24.13405006
91	23.90623034
92	23.72139457
93	23.55003487
94	23.39280663
95	23.0501271
96	22.8261526
97	22.51326529
98	22.39153408
99	22.06182929
100	21.84317468
101	21.48767197
102	21.37834585
103	21.06808585
104	20.92367027
105	20.69357334
106	20.57954696
107	20.37240654
108	20.2673643
109	20.18664933
110	20.03782412
111	19.88336924
112	19.79256363
113	19.52792551
114	19.40747294
115	19.33407731
116	19.25849471
117	19.20951178
118	19.07553804
119	18.84072694
120	18.77668778
121	18.73612653
122	18.5088186
123	18.33172953
124	18.28843448
125	18.06156655
126	18.02661494
127	18.00562264
128	17.79349767
129	17.74687791
130	17.72113307
131	17.51990188
132	17.50182751
133	17.46813822
134	17.32241449
135	17.15310506
136	17.13747516
137	16.97872659
138	16.94994316
139	16.91375996
140	16.69293607
141	16.67508724
