iter	Passed	Remaining
0	0	460
1	0	461
2	1	382
3	1	410
4	1	383
5	2	368
6	2	423
7	3	413
8	3	393
9	4	408
10	4	388
11	4	401
12	5	399
13	5	385
14	6	397
15	6	406
16	6	399
17	7	390
18	7	384
19	7	375
20	7	370
21	8	364
22	8	357
23	8	358
24	9	354
25	9	347
26	9	340
27	9	335
28	10	336
29	10	332
30	10	330
31	10	332
32	11	329
33	11	325
34	11	328
35	12	329
36	12	329
37	12	328
38	13	327
39	13	326
40	13	325
41	14	323
42	14	321
43	14	318
44	15	319
45	15	320
46	15	318
47	15	315
48	16	312
49	16	317
50	17	318
51	17	316
52	17	314
53	18	317
54	18	315
55	18	314
56	18	314
57	19	317
58	20	320
59	20	318
60	20	317
61	21	320
62	21	321
63	21	320
64	22	319
65	22	318
66	22	317
67	23	316
68	23	314
69	23	312
70	23	312
71	24	312
72	24	310
73	24	309
74	25	308
75	25	306
76	25	305
77	25	303
78	26	303
79	26	302
80	26	301
81	26	301
82	27	300
83	27	298
84	27	297
85	27	296
86	28	295
87	28	297
88	28	296
89	29	295
90	29	294
91	29	293
92	30	292
93	30	291
94	30	290
95	31	292
96	31	292
97	31	291
98	31	290
99	32	290
100	32	291
101	32	290
102	33	288
103	33	287
104	33	286
105	33	285
106	34	285
107	34	285
108	34	284
109	35	283
110	35	282
111	35	281
112	35	280
113	36	279
114	36	279
115	36	278
116	36	277
117	37	276
118	37	275
119	37	274
120	37	274
121	37	273
122	38	272
123	38	271
124	38	270
125	38	270
126	39	269
127	39	268
128	39	267
129	40	267
130	40	266
131	40	267
132	40	266
133	41	265
134	41	264
135	41	263
136	41	262
137	41	262
138	42	261
139	42	260
140	42	259
141	42	258
